institution_id,institution_name,state_code,state_name,county,nces_locale,level,control,title_i_status,total_enrollment,number_of_teachers,student_teacher_ratio,percent_free_reduced_lunch,racial_white_pct,racial_black_pct,racial_hispanic_pct,racial_asian_pct,racial_native_pct,racial_two_or_more_pct,special_education_pct,english_learner_pct,per_pupil_expenditure_usd,federal_funding_pct,state_funding_pct,local_funding_pct,math_proficiency_pct,reading_proficiency_pct,graduation_rate_pct,chronic_absenteeism_pct,avg_sat_score,avg_act_score,ap_ib_participation_pct,postsecondary_enrollment_pct,stem_certified_flag,broadband_access_pct
US-EDU-10013,Highland Park Junior High School,SC,South Carolina,Madison County,Suburban - Large,Middle School,Public,Title I Schoolwide,544,29,18.5,43.3,53.9,1.8,33.5,4.2,1.5,5.1,21.0,12.6,13601,11.1,61.2,27.7,60.0,76.4,84.4,24.5,,,,,No,92.1
US-EDU-10014,Lincoln Elementary Academy,IL,Illinois,Lake County,Suburban - Large,Elementary School,Public,Title I Schoolwide,687,48,14.4,56.6,55.6,6.5,16.7,14.7,0.1,6.4,14.1,9.8,19346,16.0,39.9,44.1,54.1,41.4,80.5,19.1,,,,,No,90.7
US-EDU-10015,Lakeshore Academy,NC,North Carolina,Wake County,Suburban - Large,High School,Public,Title I Schoolwide,1151,84,13.7,44.0,62.7,1.6,28.0,0.8,1.4,5.5,12.2,8.8,10470,11.7,49.9,38.4,48.5,65.2,80.4,18.8,1220,23.8,32.4,54.5,No,93.1
US-EDU-10016,Centennial College Prep,TX,Texas,El Paso County,Suburban - Large,High School,Public Charter,Title I Targeted,829,62,13.4,27.7,45.2,20.1,12.6,15.6,1.8,4.7,11.6,5.9,20215,12.1,36.0,51.9,66.9,77.7,91.6,15.3,1229,23.8,31.3,63.3,Yes,89.8
US-EDU-10017,Meadowbrook College Prep,OK,Oklahoma,Madison County,Suburban - Large,High School,Public Charter,Title I Schoolwide,1704,107,15.9,56.9,40.0,28.3,14.8,12.0,0.5,4.4,12.9,9.7,13182,16.4,60.1,23.5,59.3,65.2,88.0,22.8,1202,25.5,26.7,58.2,No,89.6
US-EDU-10018,Meadowbrook Elementary School,CA,California,Los Angeles County,Suburban - Midsize,Elementary School,Private Religious,Not Applicable,380,31,12.2,12.5,22.1,21.6,32.9,16.4,2.7,4.3,9.6,18.5,27615,0.0,2.0,98.0,74.2,73.7,84.6,23.1,,,,,No,98.8
US-EDU-10019,Lakeshore Junior High School,CA,California,Los Angeles County,Rural - Fringe,Middle School,Private Non-Profit,Not Applicable,774,71,10.9,3.8,65.2,19.9,6.8,5.2,1.9,1.0,12.6,5.3,9854,0.0,2.0,98.0,77.5,76.9,92.0,19.0,,,,,No,93.8
US-EDU-10020,Centennial Grade School,NV,Nevada,Clay County,Suburban - Midsize,Elementary School,Public Charter,Title I Schoolwide,537,57,9.4,45.4,42.9,19.3,26.9,6.3,0.1,4.5,8.8,11.1,14874,15.4,40.7,43.9,63.3,76.9,85.5,25.2,,,,,No,86.8
US-EDU-10021,Westview Intermediate School,TX,Texas,Bexar County,Suburban - Midsize,Middle School,Public Charter,Not Title I Eligible,567,39,14.4,18.9,61.2,13.6,11.5,10.9,0.4,2.4,10.5,7.8,21536,10.2,39.4,50.4,78.6,91.0,89.4,11.6,,,,,No,98.5
US-EDU-10022,Hamilton Middle School,TX,Texas,El Paso County,City - Midsize,Middle School,Public Charter,Title I Schoolwide,556,34,16.5,48.9,16.8,41.5,27.6,8.5,2.0,3.6,18.2,12.3,16568,12.9,54.2,32.9,49.9,63.1,88.0,19.8,,,,,No,90.5
US-EDU-10023,Eisenhower Elementary School,NC,North Carolina,New Hanover County,Suburban - Large,Elementary School,Public,Not Title I Eligible,516,31,16.8,37.7,36.3,4.1,29.9,23.4,0.1,6.2,20.3,11.3,15566,15.1,33.3,51.6,55.0,53.1,84.2,29.2,,,,,No,91.9
US-EDU-10024,Hamilton Intermediate School,CA,California,Sacramento County,Suburban - Midsize,Middle School,Public,Title I Schoolwide,720,52,13.9,72.9,51.0,20.8,23.0,1.0,1.5,2.7,15.4,11.7,16981,18.0,48.2,33.8,52.7,44.5,87.5,12.0,,,,,No,83.6
US-EDU-10025,Oak Ridge Junior High School,OH,Ohio,Montgomery County,Suburban - Large,Middle School,Public,Not Title I Eligible,683,46,14.8,13.6,68.4,16.0,9.6,1.1,1.0,3.9,14.1,0.1,13437,8.1,51.5,40.4,73.3,86.6,95.2,16.0,,,,,No,98.3
US-EDU-10026,Metropolitan Comprehensive High School,OH,Ohio,Lucas County,Suburban - Midsize,High School,Public,Not Title I Eligible,1002,74,13.5,22.5,46.6,10.0,24.7,10.5,2.8,5.4,17.8,9.1,23652,10.7,42.8,46.5,61.5,76.3,82.7,17.5,1328,27.5,36.8,76.3,No,92.9
US-EDU-10027,Frontier Elementary School,MA,Massachusetts,Franklin County,Suburban - Midsize,Elementary School,Public,Title I Schoolwide,483,30,16.2,72.1,50.6,6.1,23.7,14.8,0.4,4.4,10.0,15.7,12352,17.0,50.0,33.0,38.8,46.8,83.6,23.5,,,,,No,87.9
US-EDU-10028,Metropolitan Primary School,SC,South Carolina,Lincoln County,Town - Fringe,Elementary School,Public,Title I Schoolwide,371,32,11.7,53.7,65.7,2.0,25.6,1.2,2.1,3.4,8.4,15.2,14128,15.4,24.2,60.4,39.1,77.9,86.1,13.7,,,,,No,90.5
US-EDU-10029,Eastside High School,ME,Maine,Jackson County,Town - Distant,High School,Public,Not Title I Eligible,1048,72,14.6,32.8,66.1,14.0,16.1,2.1,0.3,1.4,17.6,3.5,19048,10.4,39.5,50.1,80.1,67.9,91.6,16.6,1274,26.1,44.9,75.4,No,95.5
US-EDU-10030,Kennedy Elementary School,UT,Utah,Clay County,City - Large,Elementary School,Public,Title I Schoolwide,603,42,14.4,78.8,40.2,43.6,5.1,4.8,1.5,4.8,16.9,2.0,15729,21.9,52.9,25.2,52.5,63.8,92.2,22.0,,,,,No,84.4
US-EDU-10031,Horizon Grade School,GA,Georgia,Clayton County,Rural - Remote,Elementary School,Private Religious,Not Applicable,400,32,12.4,5.1,69.1,8.9,19.4,0.4,0.1,2.1,22.8,7.6,14470,0.0,2.0,98.0,53.8,63.6,83.1,15.7,,,,,No,94.1
US-EDU-10032,Horizon Primary School,NY,New York,Suffolk County,Suburban - Large,Elementary School,Public,Title I Targeted,255,25,10.2,28.6,55.0,2.8,14.8,19.3,2.6,5.5,11.3,14.5,20113,13.9,43.8,42.3,75.3,87.4,99.5,6.4,,,,,No,93.3
US-EDU-10033,Meadowbrook Grade School,PA,Pennsylvania,Allegheny County,Suburban - Large,Elementary School,Public Charter,Not Title I Eligible,745,53,14.0,16.8,58.7,20.4,16.5,0.8,1.4,2.2,9.4,11.1,11430,11.2,50.6,38.2,89.0,74.9,87.4,15.0,,,,,No,95.5
US-EDU-10034,Oak Ridge Elementary Academy,MS,Mississippi,Lincoln County,Suburban - Midsize,Elementary School,Public,Title I Schoolwide,554,36,15.2,40.1,59.3,1.6,32.9,4.9,0.1,1.2,10.6,18.0,14010,14.2,34.0,51.8,63.4,68.8,83.2,15.4,,,,,No,91.7
US-EDU-10035,University of South Dakota at Grand Valley,SD,South Dakota,Jackson County,Suburban - Large,4-Year University,Public,Not Applicable,19507,1060,18.4,0.0,58.9,10.7,8.8,12.8,1.7,7.1,11.0,11.0,29336,27.3,46.5,26.2,91.8,96.3,88.3,21.2,1444,31.5,,,Yes,97.1
US-EDU-10036,Martin Luther King Jr. Elementary School,TX,Texas,Travis County,Town - Fringe,Elementary School,Private Non-Profit,Not Applicable,313,21,14.9,11.2,68.2,13.6,7.8,3.3,2.6,4.5,10.5,8.6,14445,0.0,2.0,98.0,62.6,68.7,94.2,13.6,,,,,No,94.9
US-EDU-10037,Southland Elementary School,DC,District of Columbia,Madison County,Suburban - Large,Elementary School,Public,Title I Targeted,450,26,17.5,28.6,65.3,22.5,3.7,3.1,0.1,5.3,12.3,7.5,12534,12.9,57.0,30.1,78.8,69.5,91.4,13.7,,,,,No,87.9
US-EDU-10038,Franklin Grade School,OH,Ohio,Franklin County,City - Midsize,Elementary School,Public,Title I Schoolwide,624,30,20.7,75.9,34.5,32.5,28.6,1.0,0.1,3.3,10.6,11.2,17479,18.4,37.6,44.0,40.6,27.5,84.6,24.3,,,,,No,83.8
US-EDU-10039,Roosevelt Elementary Academy,TN,Tennessee,Franklin County,Town - Distant,Elementary School,Public,Not Title I Eligible,431,43,10.0,35.8,82.4,6.6,1.9,1.0,4.0,4.1,14.8,0.8,19046,15.1,42.7,42.2,88.0,77.5,83.3,15.6,,,,,No,91.1
US-EDU-10040,Eisenhower Intermediate School,CO,Colorado,Franklin County,Suburban - Large,Middle School,Public,Title I Schoolwide,612,52,11.8,76.3,26.8,2.8,39.3,23.6,2.2,5.3,10.1,22.8,13021,15.9,48.6,35.5,52.7,63.1,80.8,15.0,,,,,No,84.8
US-EDU-10041,Martin Luther King Jr. Elementary Academy,SD,South Dakota,Central County,City - Large,Elementary School,Public,Title I Schoolwide,578,39,14.8,70.8,25.4,38.2,22.7,9.9,0.1,3.7,11.4,14.8,15507,14.4,42.1,43.5,44.8,60.8,76.1,26.4,,,,,No,79.9
US-EDU-10042,Northwood High School,TX,Texas,Fort Bend County,Suburban - Large,High School,Public,Title I Schoolwide,1758,114,15.4,62.0,41.6,20.2,14.9,15.0,2.2,6.1,16.7,13.3,18329,14.4,43.4,42.2,36.5,33.7,80.5,27.8,1033,20.6,16.9,52.2,No,82.7
US-EDU-10043,Kennedy Comprehensive High School,CO,Colorado,Clay County,Suburban - Midsize,High School,Public,Title I Schoolwide,1127,71,15.9,43.5,39.2,17.9,27.7,9.9,0.5,4.8,19.7,16.2,22072,15.1,54.5,30.4,42.5,56.0,74.5,18.8,1217,23.4,28.2,55.0,No,88.8
US-EDU-10044,Cedar Creek Senior High School,CA,California,San Diego County,Town - Fringe,High School,Private For-Profit,Not Applicable,1139,57,20.1,53.7,80.4,8.3,4.7,1.6,2.2,2.8,14.3,0.0,20360,15.4,41.5,43.1,57.4,67.0,86.1,28.8,1309,25.7,32.1,71.2,No,91.2
US-EDU-10045,Lakeshore Comprehensive High School,TN,Tennessee,Madison County,City - Large,High School,Public,Not Title I Eligible,906,53,17.0,37.3,51.4,10.2,14.1,14.7,0.2,9.4,12.1,12.0,18633,17.2,38.9,43.9,65.2,70.6,87.1,17.5,1257,23.6,31.3,67.3,No,91.6
US-EDU-10046,Madison Academy,IL,Illinois,Lake County,City - Large,High School,Public,Title I Schoolwide,862,48,18.1,66.6,43.7,21.8,27.6,0.9,1.2,4.8,19.5,10.8,17458,15.2,40.3,44.5,25.5,48.3,80.6,18.5,1089,22.7,22.4,65.0,No,90.3
US-EDU-10047,Cedar Creek Middle School,IL,Illinois,DuPage County,Suburban - Midsize,Middle School,Public,Title I Schoolwide,723,51,14.2,76.7,50.4,17.9,22.2,5.8,0.1,3.6,14.6,11.4,13232,17.2,55.7,27.1,61.0,51.1,84.6,17.3,,,,,No,87.1
US-EDU-10048,Cedar Creek Middle School,KY,Kentucky,Jefferson County,Suburban - Midsize,Middle School,Public,Title I Schoolwide,775,52,15.0,72.1,50.5,2.1,28.5,13.1,1.1,4.7,8.1,17.8,14214,16.9,57.2,25.9,47.6,44.1,79.7,27.2,,,,,No,84.5
US-EDU-10049,Washington Grade School,OH,Ohio,Franklin County,Suburban - Large,Elementary School,Private Religious,Not Applicable,406,34,12.0,6.1,60.4,13.2,8.3,13.1,1.6,3.4,12.1,3.8,13534,0.0,2.0,98.0,83.4,76.8,95.5,20.1,,,,,No,92.1
US-EDU-10050,Eastside Elementary School,NC,North Carolina,Guilford County,Town - Fringe,Elementary School,Public Charter,Title I Targeted,467,29,16.1,49.4,82.0,1.1,10.1,1.6,1.0,4.2,11.2,2.7,20614,15.1,39.3,45.6,71.2,80.9,81.2,22.7,,,,,No,87.8
US-EDU-10051,Cedar Creek Academy,MI,Michigan,Ottawa County,Suburban - Large,High School,Public,Title I Schoolwide,1637,95,17.3,47.9,32.5,27.6,29.3,5.8,3.2,1.6,15.9,13.2,17292,15.0,39.2,45.8,65.3,89.7,84.8,25.3,1285,24.7,38.0,63.1,Yes,83.1
US-EDU-10052,Willow Creek Elementary Academy,AZ,Arizona,Clay County,City - Large,Elementary School,Public Charter,Title I Targeted,336,19,18.0,40.6,17.9,13.1,63.0,3.1,0.5,2.4,16.5,24.8,18348,12.7,34.3,53.0,58.0,55.8,86.7,5.9,,,,,No,94.2
US-EDU-10053,Sunset Grade School,MS,Mississippi,Clay County,City - Large,Elementary School,Public,Title I Schoolwide,753,50,15.1,98.0,36.5,31.3,15.5,8.2,1.6,6.9,15.4,8.3,10072,20.6,54.4,25.0,60.1,43.7,75.7,19.8,,,,,No,82.4
US-EDU-10054,Grand Valley Academy,NC,North Carolina,Gaston County,City - Large,High School,Public,Title I Targeted,339,24,14.3,65.1,32.6,25.4,23.4,9.5,0.1,9.0,9.3,11.4,14432,17.9,43.8,38.3,50.0,59.7,84.9,24.0,1213,23.9,21.1,75.0,No,84.9
US-EDU-10055,Cedar Creek Intermediate School,FL,Florida,Polk County,City - Midsize,Middle School,Public,Title I Schoolwide,480,40,11.9,52.4,23.5,39.0,21.5,10.5,1.0,4.5,12.4,17.0,14767,14.2,52.9,32.9,36.5,62.9,82.3,16.8,,,,,No,87.9
US-EDU-10056,Southland Grade School,FL,Florida,Duval County,City - Midsize,Elementary School,Public,Title I Schoolwide,379,25,15.4,49.8,30.4,38.2,7.6,18.5,1.6,3.7,16.8,7.9,19558,13.8,53.5,32.7,68.7,61.7,90.8,19.1,,,,,No,95.5
US-EDU-10057,Eastside Grade School,PA,Pennsylvania,Luzerne County,Suburban - Midsize,Elementary School,Public,Title I Schoolwide,607,48,12.6,53.2,47.6,11.4,27.7,11.1,1.2,1.0,9.6,13.3,14196,15.3,46.2,38.5,63.1,58.0,88.4,21.9,,,,,No,89.3
US-EDU-10058,Centennial Intermediate School,IL,Illinois,Kane County,City - Large,Middle School,Public Charter,Title I Schoolwide,607,44,13.7,79.8,26.5,32.9,16.6,18.9,0.3,4.8,17.5,11.6,15307,18.7,52.8,28.5,33.8,29.8,74.4,22.3,,,,,No,88.7
US-EDU-10059,Metropolitan Intermediate School,AK,Alaska,Lincoln County,Suburban - Large,Middle School,Public,Title I Schoolwide,440,32,13.8,54.1,49.6,6.1,23.2,18.9,0.1,2.1,10.1,14.4,20695,17.1,43.7,39.2,60.2,52.9,85.2,18.9,,,,,No,83.8
US-EDU-10060,Washington Junior College,LA,Louisiana,Franklin County,City - Large,2-Year College,Public,Not Applicable,4941,266,18.6,0.0,18.8,45.7,6.9,21.8,0.1,6.7,14.2,10.6,28840,14.2,25.5,60.3,86.4,93.1,88.1,10.4,,,,,No,99.0
US-EDU-10061,Eisenhower Primary School,MA,Massachusetts,Lincoln County,Suburban - Large,Elementary School,Public,Title I Schoolwide,877,74,11.9,41.7,46.0,4.9,39.9,1.9,0.2,7.1,10.7,13.1,15159,14.6,39.9,45.5,60.1,55.2,83.3,24.2,,,,,No,90.4
US-EDU-10062,Centennial Senior High School,TN,Tennessee,Clay County,City - Large,High School,Public,Title I Targeted,1672,90,18.5,62.4,27.2,24.6,34.4,11.1,1.6,1.1,14.4,21.9,21897,16.6,45.2,38.2,29.3,36.4,81.8,23.6,1102,22.9,23.8,60.3,No,83.3
US-EDU-10063,Sunset Elementary School,WI,Wisconsin,Central County,Rural - Fringe,Elementary School,Private Non-Profit,Not Applicable,630,55,11.5,12.5,78.8,4.7,10.7,2.3,0.5,3.0,16.3,6.1,25994,0.0,2.0,98.0,57.6,82.2,92.5,12.2,,,,,No,96.5
US-EDU-10064,Hamilton Primary School,GA,Georgia,Chatham County,Suburban - Midsize,Elementary School,Public,Title I Targeted,538,30,18.0,69.6,51.1,2.8,29.0,11.8,1.3,4.0,12.3,17.1,15567,17.8,46.6,35.6,18.6,39.9,82.9,28.0,,,,,No,88.0
US-EDU-10065,Eisenhower K-12 Academy,NY,New York,Erie County,Suburban - Midsize,K-12 Combined,Private Non-Profit,Not Applicable,438,57,7.7,8.2,56.7,23.1,15.1,0.9,2.3,1.9,17.4,11.8,13240,0.0,2.0,98.0,62.4,82.4,81.6,9.4,1281,26.3,34.6,65.8,Yes,99.0
US-EDU-10066,Southland Middle School,KY,Kentucky,Montgomery County,City - Large,Middle School,Public,Not Title I Eligible,515,49,10.6,23.6,29.5,22.6,31.0,12.9,2.3,1.7,11.7,14.9,15278,12.4,47.0,40.6,72.9,85.3,90.5,15.5,,,,,Yes,89.9
US-EDU-10067,Frontier Elementary Academy,NV,Nevada,Clay County,City - Large,Elementary School,Public Charter,Title I Schoolwide,627,42,15.1,88.8,6.9,16.4,65.2,7.0,0.1,4.4,10.8,28.2,18302,15.5,43.1,41.4,42.5,53.5,81.1,20.7,,,,,No,80.3
US-EDU-10068,Roosevelt Elementary School,KY,Kentucky,Franklin County,Suburban - Large,Elementary School,Public,Title I Schoolwide,537,44,12.1,41.8,18.9,19.2,31.9,23.0,2.0,5.0,12.4,18.7,13789,13.2,53.0,33.8,57.6,58.1,84.8,23.3,,,,,No,86.3
US-EDU-10069,Meadowbrook Academy,WA,Washington,Jackson County,City - Midsize,High School,Private For-Profit,Not Applicable,1050,64,16.3,97.1,19.1,48.2,19.1,2.8,2.1,8.7,12.1,6.9,9979,18.8,55.4,25.8,44.8,43.8,74.0,26.8,1084,21.8,11.7,64.0,No,80.5
US-EDU-10070,Cedar Creek Grade School,VA,Virginia,Jefferson County,Suburban - Large,Elementary School,Public,Title I Targeted,517,37,14.0,36.1,57.3,10.9,7.8,17.2,0.7,6.1,7.9,5.8,15817,13.6,39.4,47.0,62.4,86.7,80.8,34.0,,,,,No,99.0
US-EDU-10071,Kennedy Elementary Academy,FL,Florida,Brevard County,Suburban - Midsize,Elementary School,Public,Title I Targeted,344,19,17.9,29.1,54.0,8.1,17.3,14.5,0.9,5.2,6.9,9.5,19587,10.2,43.3,46.5,76.1,85.8,85.2,15.3,,,,,No,93.5
US-EDU-10072,Horizon Academy,IL,Illinois,Will County,Suburban - Large,High School,Public,Not Title I Eligible,1730,122,14.2,27.1,45.7,18.9,31.9,0.9,1.3,1.3,12.2,14.1,17699,14.0,26.2,59.8,45.8,49.5,89.4,21.4,1279,26.5,28.4,60.1,No,95.9
US-EDU-10073,Frontier Elementary School,AZ,Arizona,Clay County,Suburban - Midsize,Elementary School,Public,Not Title I Eligible,718,46,15.7,23.6,61.0,2.5,24.7,1.3,3.4,7.1,20.6,8.8,17216,9.7,40.8,49.5,67.5,79.0,90.1,17.2,,,,,No,94.0
US-EDU-10074,Cedar Creek College Prep,NY,New York,Queens County,Suburban - Midsize,High School,Public Charter,Title I Schoolwide,685,38,18.0,40.3,57.6,3.6,21.8,11.9,0.1,5.0,12.3,11.7,16732,13.8,65.5,20.7,62.8,76.7,87.7,27.8,1239,26.3,32.0,75.6,No,89.8
US-EDU-10075,Lakeshore Elementary Academy,WA,Washington,Madison County,Rural - Fringe,Elementary School,Public,Title I Schoolwide,296,16,18.7,61.2,65.3,13.2,5.0,5.7,2.5,8.3,15.7,2.1,13403,17.1,44.3,38.6,27.4,37.3,80.6,19.9,,,,,No,86.9
US-EDU-10076,Valley View Middle School,WA,Washington,Madison County,City - Large,Middle School,Public Charter,Title I Schoolwide,627,34,18.3,64.2,19.8,24.2,35.9,15.3,0.6,4.2,11.9,21.1,17593,13.5,41.8,44.7,56.6,49.3,81.4,23.2,,,,,Yes,81.5
US-EDU-10077,Crestview Intermediate School,OH,Ohio,Franklin County,Suburban - Midsize,Middle School,Private For-Profit,Not Applicable,348,24,14.6,44.9,53.0,11.0,22.0,9.7,1.8,2.5,19.3,7.5,22225,13.0,34.5,52.5,47.7,59.2,83.8,13.7,,,,,No,93.8
US-EDU-10078,Martin Luther King Jr. Comprehensive High School,OK,Oklahoma,Clay County,City - Midsize,High School,Private Non-Profit,Not Applicable,631,37,17.0,18.6,50.5,14.7,18.0,13.6,0.1,3.1,13.7,14.6,20932,0.0,2.0,98.0,70.2,74.1,80.3,16.1,1222,24.4,35.3,66.1,No,91.9
US-EDU-10079,Horizon Primary School,MO,Missouri,Madison County,Suburban - Midsize,Elementary School,Public,Not Title I Eligible,526,38,14.0,7.0,63.2,20.6,5.9,7.4,0.1,2.8,11.9,2.4,18936,7.0,55.8,37.2,65.1,69.7,87.7,11.3,,,,,No,95.4
US-EDU-10080,Jefferson Elementary School,SD,South Dakota,Madison County,Rural - Remote,Elementary School,Public Charter,Title I Schoolwide,443,26,17.0,61.6,63.0,7.2,17.4,6.3,0.1,6.0,12.8,8.1,19480,15.4,39.7,44.9,87.9,87.7,88.2,12.4,,,,,No,88.5
US-EDU-10081,Eisenhower High School,PA,Pennsylvania,Allegheny County,Suburban - Large,High School,Public,Not Title I Eligible,566,36,15.8,29.7,33.1,1.8,34.8,24.3,1.1,4.9,15.9,23.5,19417,11.2,40.7,48.1,64.2,68.1,94.2,19.3,1300,28.3,26.9,77.4,Yes,92.6
US-EDU-10082,Highland Park Junior High School,CA,California,San Diego County,Town - Fringe,Middle School,Public,Title I Schoolwide,286,15,18.8,62.7,77.2,7.7,4.6,3.9,2.0,4.6,11.4,5.1,13503,12.3,57.7,30.0,39.1,41.3,80.8,26.0,,,,,No,89.5
US-EDU-10083,Sunset Primary School,WA,Washington,Marion County,Suburban - Large,Elementary School,Public,Title I Targeted,595,44,13.4,38.6,46.5,15.1,19.0,9.8,3.0,6.6,17.5,10.3,12400,12.7,29.5,57.8,64.2,72.7,95.2,20.1,,,,,No,90.6
US-EDU-10084,Roosevelt High School,TX,Texas,El Paso County,Suburban - Large,High School,Public,Title I Targeted,1652,112,14.8,60.4,36.7,15.5,33.6,2.4,2.4,9.4,13.1,10.0,16178,19.3,53.6,27.1,55.4,55.6,85.0,19.5,1202,23.7,25.7,54.8,No,85.5
US-EDU-10085,Centennial Senior High School,AZ,Arizona,Franklin County,Town - Fringe,High School,Public,Title I Schoolwide,796,61,13.0,68.9,51.4,19.3,19.1,2.0,3.3,4.9,15.2,2.6,21763,16.1,60.0,23.9,66.3,83.9,90.6,11.3,1243,25.0,28.0,67.6,No,82.6
US-EDU-10086,Willow Creek Academy,UT,Utah,Washington County,Suburban - Large,High School,Public,Title I Targeted,1289,72,17.9,33.1,69.5,2.5,22.7,1.6,0.6,3.1,17.5,11.8,17814,14.0,47.9,38.1,74.8,69.9,82.1,14.7,1255,27.1,32.9,70.4,Yes,92.7
US-EDU-10087,Highland Park Primary School,TX,Texas,Tarrant County,Suburban - Large,Elementary School,Private Religious,Not Applicable,317,24,13.1,23.5,26.4,22.3,26.8,18.4,2.3,3.8,12.6,12.6,11647,0.0,2.0,98.0,55.2,71.7,87.1,19.7,,,,,No,94.7
US-EDU-10088,Northwood Preparatory High School,MI,Michigan,Ottawa County,City - Large,High School,Public Charter,Title I Schoolwide,778,50,15.5,89.6,31.1,28.9,28.8,5.3,1.9,4.0,6.9,10.6,11411,21.1,51.4,27.5,29.1,33.9,80.8,25.4,987,20.5,14.3,57.1,Yes,89.8
US-EDU-10089,Crestview Elementary Academy,TX,Texas,Hidalgo County,Suburban - Large,Elementary School,Public Charter,Not Title I Eligible,410,31,13.3,14.8,29.0,7.3,39.7,18.6,1.4,4.0,11.8,19.0,16700,7.5,55.1,37.4,60.1,79.5,93.4,17.6,,,,,Yes,99.0
US-EDU-10090,Frontier State College,IA,Iowa,Central County,Rural - Remote,2-Year College,Public,Not Applicable,4025,255,15.8,0.0,61.5,14.9,13.2,3.4,1.0,6.0,9.5,5.5,25930,15.6,18.1,66.3,77.0,72.0,83.5,18.5,,,,,Yes,98.0
